id,latitud,longitud,r_j
0202-3N,-27.408685155611,-70.352339767821,0.0109897674354661
0203-3N,-27.127671919077,-70.363057070419,0.0077308375105851
0205-4N,-29.725705768336,-71.222485937689,0.0586042924437631
0206-4N,-29.759324124491,-71.236352883468,0.0586042924437631
0207-3N,-27.45046497961,-70.325972015291,0.0087551905577401
0211-3N,-28.189600072919,-69.553506716627,0.131362279945175
0212-3N,-28.132682535684,-69.624270103622,0.099064864388044
0220-3N,-28.552303582921,-70.762882844984,0.0210198923039085
0221-3N,-28.551840810895,-70.762337531626,0.0210198923039085
0223-3N,-26.755988284667,-69.91213595877,0.0126364429847401
0232-3N,-27.26031298424,-69.290516939863,0.0903358339136913
0233-3N,-27.257745015221,-69.291767190519,0.0903358339136913
0234-3N,-27.394974320893,-70.312382416746,0.0087551905577401
0235-3N,-27.395604467731,-70.312880692665,0.0087551905577401
0236-3N,-27.396312703826,-70.313539212489,0.0087551905577401
0242-3N,-26.754203997105,-69.908664420524,0.0126364429847401
0244-3N,-27.723159549264,-70.18836140901,0.0107309255494077
0251-3N,-28.061055674933,-70.691858462329,0.0303354481098922
0258-3N,-26.358086817333,-70.01088820136,0.0075518510328069
0260-3N,-26.016437994816,-68.87681182552,0.0511033824542401
0282-4N,-29.794260389137,-70.000505843105,0.157636113711507
0288-4N,-30.224949536484,-71.081484322314,0.0760499613393383
0289-4N,-30.225414977762,-71.082204420714,0.0760499613393383
0303-4N,-31.095756464271,-70.919511688759,0.136528105069885
0304-4N,-31.096186350271,-70.919781743921,0.136528105069885
0305-4N,-31.096738664223,-70.920588589031,0.136528105069885
0367-4N,-30.201558196296,-71.243855187078,0.0835192061076403
0368-4N,-30.201727798711,-71.240813825816,0.0835192061076403
0369-4N,-30.201561840534,-71.24242254368,0.0835192061076403
0371-4N,-30.198109737867,-71.242216943978,0.0835192061076403
0372-4N,-30.203692778497,-71.241295218309,0.0835192061076403
0383-4N,-29.371497951134,-71.101138086068,0.0345664120919627
0399-4N,-29.342490873881,-71.147752906018,0.0345664120919627
0400-4N,-29.34277324386,-71.14952775894,0.0345664120919627
0412-4N,-29.888705869687,-70.896637525986,0.0562760905830411
0413-4N,-29.885552953262,-70.893837919253,0.0562760905830411
0414-4N,-29.894078263437,-70.957478794739,0.0562760905830411
0415-4N,-29.888680168077,-70.893190204957,0.0562760905830411
0420-4N,-29.94575012786,-71.132631096081,0.0615066254804842
0422-4N,-31.867748410164,-71.320118130685,0.17263655243748
0423-4N,-31.868020328789,-71.318044151603,0.17263655243748
0424-4N,-31.873674605547,-71.320581085783,0.17263655243748
0438-4N,-30.899843885562,-71.674023996433,0.121064590464582
0439-4N,-30.899619580133,-71.675062463941,0.121064590464582
0440-4N,-30.899833758937,-71.676769730259,0.121064590464582
0441-4N,-30.897539468937,-71.67500142394,0.121064590464582
0442-4N,-30.895225105598,-71.67220699458,0.121064590464582
0445-4N,-31.587326760214,-71.117065944248,0.153566234163761
0449-4N,-31.479167118571,-71.090546844618,0.154714503457611
0452-4N,-30.859786124094,-71.232872023597,0.122571290675764
0454-4N,-30.858538213432,-71.226197902649,0.122571290675764
0455-4N,-30.863003739576,-71.227052455611,0.122571290675764
0468-4N,-31.597910638652,-71.125682077968,0.153566234163761
0471-4N,-31.453309371337,-71.02278307175,0.154714503457611
0475-4N,-31.410343221427,-71.084567392516,0.154714503457611
0476-4N,-31.410857803138,-71.084475971832,0.154714503457611
0478-4N,-31.409715951262,-71.084434107802,0.154714503457611
0479-4N,-31.374084675534,-71.070402007274,0.154714503457611
0480-4N,-31.372767843661,-71.070975814775,0.154714503457611
0488-4N,-31.843817204292,-70.591791717546,0.193113978593759
0489-4N,-31.845181723386,-70.605535184293,0.193113978593759
0500-4N,-30.948111193483,-70.496166856601,0.155086244646946
0501-RM,-33.256530331259,-70.835581769786,0.338289883942526
0502-RM,-33.255771109674,-70.83881391489,0.338289883942526
0505-4N,-29.362027765869,-71.066169916792,0.0345664120919627
0506-4N,-29.362243539189,-71.064612810008,0.0345664120919627
0510-4N,-30.028892341579,-71.03643398549,0.0698019578366046
0529-4N,-30.001138012327,-71.001949275525,0.0698019578366046
0530-4N,-30.000561447976,-71.001748728084,0.0698019578366046
0531-4N,-31.459234736977,-71.04742178349,0.154714503457611
0532-4N,-31.459080886516,-71.048021731644,0.154714503457611
0533-4N,-31.459079672878,-71.04868544585,0.154714503457611
